id,Is Action,Is Adventure,Is Animation,Is Christmas Movie,Is Comedy,Is Crime,Is Documentary,Is Drama,Is Family,Is Fantasy,Is Foreign,Is History,Is Horror,Is Music,Is Mystery,Is Romance,Is Science Fiction,Is TV Movie,Is Thriller,Is War,Is Western,Tag: aftercreditsstinger,Tag: alien,Tag: biography,Tag: blood,Tag: corruption,Tag: dark comedy,Tag: death,Tag: detective,Tag: dog,Tag: drug,Tag: dystopia,Tag: england,Tag: escape,Tag: family,Tag: father,Tag: film noir,Tag: friendship,Tag: gangster,Tag: gay,Tag: high school,Tag: independent film,Tag: investigation,Tag: kidnapping,Tag: love,Tag: marriage,Tag: martial arts,Tag: money,Tag: music,Tag: new york,Tag: nudity,Tag: paris,Tag: party,Tag: prison,Tag: remake,Tag: revenge,Tag: robbery,Tag: romance,Tag: secret,Tag: sequel,Tag: serial killer,Tag: small town,Tag: sport,Tag: spy,Tag: stand-up comedy,Tag: suicide,Tag: suspense,Tag: teacher,Tag: teenager,Tag: vampire,Tag: violence,Tag: wedding,Tag: world war ii,adult,imdb_id,popularity,release_date,release_month,release_quarter,release_year,runtime,title,vote_average,vote_count
60421,,,,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt1684628,1.349971,2011-08-26,8.0,3.0,2011.0,107.0,Circumstance,7.4,24.0
42782,,,,0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0057952,1.447293,1964-06-25,6.0,2.0,1964.0,135.0,Circus World,5.6,15.0
27405,,,,0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0053717,1.653187,1960-04-01,4.0,2.0,1960.0,92.0,Circus of Horrors,5.5,12.0
24418,1.0,1.0,,0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1,tt0450405,10.829432,2009-10-23,10.0,4.0,2009.0,109.0,Cirque du Freak: The Vampire's Assistant,5.5,354.0
94352,,,,0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1,tt1792647,4.725759,2012-11-09,11.0,4.0,2012.0,91.0,Cirque du Soleil: Worlds Away,6.1,58.0
75145,,,,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0103973,0.209787,1992-08-22,8.0,3.0,1992.0,107.0,Citizen Cohn,7.3,3.0
25755,,,,0,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0444778,1.147208,2004-12-12,12.0,4.0,2004.0,100.0,Citizen Dog,6.7,12.0
15,,,,0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0033467,15.811921,1941-04-30,4.0,2.0,1941.0,119.0,Citizen Kane,8.0,1244.0
159000,,,,0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt2545338,0.332065,2013-01-20,1.0,1.0,2013.0,85.0,Citizen Koch,6.3,3.0
13891,,,,0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0115906,2.225234,1996-12-13,12.0,4.0,1996.0,104.0,Citizen Ruth,6.8,27.0
27601,,,,0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1,tt0212879,4.693487,2001-11-01,11.0,4.0,2001.0,109.0,Citizen Toxie: The Toxic Avenger IV,6.2,30.0
12554,,,,0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1,tt0112681,3.538001,1995-02-25,2.0,1.0,1995.0,105.0,Citizen X,6.9,43.0
293310,,,,0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt4044364,6.584217,2014-10-10,10.0,4.0,2014.0,114.0,Citizenfour,7.9,516.0
13536,,,,0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0269095,3.903016,2002-09-06,9.0,3.0,2002.0,108.0,City By The Sea,5.7,92.0
144610,1.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0099614,0.085889,1989-11-18,11.0,4.0,1989.0,100.0,City Cops,7.5,5.0
11062,,,,0,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tt0115907,4.807223,1996-02-16,2.0,1.0,1996.0,111.0,City Hall,6.0,67.0
